Shortcut Name,Location,References Target File,References Target Location,,,,,,,,,,,,,,,,,,,
PowerShell Compact-Archive Tool,%AppData%\Microsoft\Windows\Start Menu\Programs\PowerShell Compact-Archive Tool\PSCAT\,Bootstrap Loader.bat,%LocalAppData%\Local\Programs\PowerShell Compact-Archive Tool\Bootstrap\,,,,,,,,,,,,,,,,,,,
PowerShell Compact-Archive Tool â€“ Clean,%AppData%\Microsoft\Windows\Start Menu\Programs\PowerShell Compact-Archive Tool\PSCAT\,Clean.bat,%LocalAppData%\Local\Programs\PowerShell Compact-Archive Tool\Bootstrap\,,,,,,,,,,,,,,,,,,,
ReadMe,%AppData%\Microsoft\Windows\Start Menu\Programs\PowerShell Compact-Archive Tool\Text\,ReadMe.txt,%LocalAppData%\Local\Programs\PowerShell Compact-Archive Tool\,,,,,,,,,,,,,,,,,,,
License,%AppData%\Microsoft\Windows\Start Menu\Programs\PowerShell Compact-Archive Tool\Text\,LICENSE.txt,%LocalAppData%\Local\Programs\PowerShell Compact-Archive Tool\,,,,,,,,,,,,,,,,,,,
PSCAT Forum,%AppData%\Microsoft\Windows\Start Menu\Programs\PowerShell Compact-Archive Tool\Websites\,-,-,,,,,,,,,,,,,,,,,,,
PSCAT Homepage,%AppData%\Microsoft\Windows\Start Menu\Programs\PowerShell Compact-Archive Tool\Websites\,-,-,,,,,,,,,,,,,,,,,,,
PSCAT Updates,%AppData%\Microsoft\Windows\Start Menu\Programs\PowerShell Compact-Archive Tool\Websites\,-,-,,,,,,,,,,,,,,,,,,,
PSCAT Wiki,%AppData%\Microsoft\Windows\Start Menu\Programs\PowerShell Compact-Archive Tool\Websites\,-,-,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, 
